SPECIES,ORGANIZATION,HAUL_NO,DATE,LOCATION,SAMPLE_NO,NUM_INDIVIDUALS,LENGTH(mm),WET_WEIGHT(g),DRY_WEIGHT(g),WATER_CONTENT(%mass),ASH_WEIGHT(g),ASH_WEIGHT(%WW),AFDW(g),AVERAGE_AFDW(g),AVERAGE_ASH_WEIGHT(%WW),"WATER_CONTENT(%mass,AFDW)"
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,1,52,16.36,2.2114,0.5813,0.7371348467,0.087,0.03934159356,0.4943,0.36682,0.03945260621,0.7764764403
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,2,52,16.24,2.1979,0.586,0.7333818645,0.0891,0.04053869603,0.4969,0.36682,0.03945260621,0.7739205605
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,3,38,17.04,2.0474,0.364,0.8222135391,0.0834,0.04073459021,0.2806,0.36682,0.03945260621,0.8629481293
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,4,34,17.69,2.0544,0.3562,0.8266160436,0.0782,0.03806464174,0.278,0.36682,0.03945260621,0.8646806854
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,5,40,18.3,2.0812,0.3646,0.8248126081,0.0803,0.03858350951,0.2843,0.36682,0.03945260621,0.8633961176
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,1,23,20.64,2.457,0.6782,0.723972324,0.0929,0.03781033781,0.5853,0.42656,0.03812780415,0.7617826618
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,2,21,20.16,2.1617,0.6082,0.7186473609,0.0831,0.03844196697,0.5251,0.42656,0.03812780415,0.7570893278
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,3,15,21.18,2.0196,0.4283,0.7879283026,0.077,0.03812636166,0.3513,0.42656,0.03812780415,0.8260546643
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,4,19,19.6,2.0663,0.3983,0.8072399942,0.0788,0.03813579829,0.3195,0.42656,0.03812780415,0.8453757925
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,5,20,21.29,2.1115,0.4321,0.7953587497,0.0805,0.038124556,0.3516,0.42656,0.03812780415,0.8334833057
