SPECIES,ORGANIZATION,HAUL_NO,DATE,LOCATION,LAT,LONG,BOTTOM_DEPTH(m),SAMPLE_NUM,LENGTH(mm),NUM_INDIVIDUALS,WET_WEIGHT(g),DRY_WEIGHT(g),AFDW(g),WATER_CONTENT(%mass),"WATER_CONTENT(%mass,AFDW)",WET:DRY,WET:DRY(AFDW),SUBSAMPLE_WEIGHT(g),GROSS_HEAT(J/Kg),"ENERGY_DENSITY(kJ/g,DRY)","ENERGY_DENSITY(kJ/g,WET)","ENERGY_DENSITY(kJ/g,WET,AFDW)",NOTES
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,1,17.04,19,1.0237,0.182,0.141612367,0.822213539,0.861666145,5.624725275,7.228888419,0.182,19674612.29,19.67461229,4.302384752,3.492528588,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,2,17.69,17,1.0272,0.1823,0.141774283,0.822527259,0.861979865,5.634668129,7.245319666,0.1823,18792871.65,18.79287165,4.109568373,3.336006856,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,3,18.3,16,1.0406,0.1781,0.137045618,0.828848741,0.868301347,5.842784952,7.593092106,0.1781,18411790.52,18.41179052,4.026234704,3.268359437,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,4,17.07,17,1.0197,0.1922,0.151970177,0.81151319,0.850965796,5.30541103,6.709869115,0.1922,18195163.17,18.19516317,3.978863289,3.229904945,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,5,16.81,46,2.1093,0.5397,0.456482618,0.744133125,0.783585731,3.908282379,4.620767403,0.5397,18269074.57,18.26907457,3.995026011,3.243025289,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,6,17.35,46,2.1261,0.5167,0.432819814,0.756972861,0.796425467,4.114766789,4.912205799,0.5167,18141285.18,18.14128518,3.967081413,3.220340822,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,7,17.42,41,1.9466,0.4935,0.416701557,0.746481044,0.78593365,3.944478217,4.671448831,0.4935,18241298.87,18.24129887,3.988952105,3.2380947,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,8,17.11,44,1.9721,0.4965,0.418695515,0.748237919,0.787690525,3.972004028,4.710105382,0.4965,18444398.23,18.44439823,4.033365259,3.274147778,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,9,16.41,50,2.0174,0.5598,0.480208312,0.722514127,0.761966733,3.603787067,4.20109346,0.5598,18725844.58,18.72584458,4.094911096,3.32410858,
E. pacifica/ T. spinifera,NOAA,6,4/29/21,NAVARRO,39.073668,123.59316,463,10,17.05,49,2.1833,0.5778,0.491663125,0.735354738,0.774807345,3.778643129,4.440642158,0.5778,18389590.84,18.38959084,4.021380145,3.264418672,
E. pacifica/ T. spinifera,NOAA,9,5/1/21,FARALLONES,37.416612,122.530817,138,1,21.21,15,2.1196,0.4381,0.357284306,0.793310059,0.831437863,4.838164803,5.932530375,0.4381,19923366.64,19.92336664,4.996717332,4.211081729,
E. pacifica/ T. spinifera,NOAA,9,5/1/21,FARALLONES,37.416612,122.530817,138,2,19.8,17,2.107,0.448,0.367664717,0.787375415,0.825503219,4.703125,5.730764755,0.448,19341497,19.341497,4.850786267,4.088095456,
