SAMPLE,SPECIES,TIME(h),WEIGHT(g)
A1,E. mordax,0,10.0012
A2,E. mordax,0,10.8006
A3,E. mordax,0,9.734
A4,E. mordax,0,7.3393
A5,E. mordax,0,9.1393
A6,E. mordax,0,10.8396
A7,E. mordax,0,10.106
A8,E. mordax,0,10.1307
A9,E. mordax,0,12.0012
A10,E. mordax,0,10.7601
A1,E. mordax,24,4.4796
A2,E. mordax,24,5.2538
A3,E. mordax,24,4.592
A4,E. mordax,24,4.6185
A5,E. mordax,24,3.9034
A6,E. mordax,24,4.643
A7,E. mordax,24,3.8858
A8,E. mordax,24,4.8666
A9,E. mordax,24,6.9401
A10,E. mordax,24,5.3074
A1,E. mordax,48,3.116
A2,E. mordax,48,3.5661
A3,E. mordax,48,3.2285
A4,E. mordax,48,3.4733
A5,E. mordax,48,2.5595
A6,E. mordax,48,3.3612
A7,E. mordax,48,2.9052
A8,E. mordax,48,3.2819
A9,E. mordax,48,4.7258
A10,E. mordax,48,3.5247
A1,E. mordax,72,2.9858
A2,E. mordax,72,3.1697
A3,E. mordax,72,3.0654
A4,E. mordax,72,3.2484
A5,E. mordax,72,2.59
A6,E. mordax,72,3.2166
A7,E. mordax,72,2.8529
A8,E. mordax,72,3.1288
A9,E. mordax,72,4.0738
A10,E. mordax,72,3.3088
A1,E. mordax,96,2.9433
A2,E. mordax,96,3.1289
A3,E. mordax,96,3.0346
A4,E. mordax,96,2.2112
A5,E. mordax,96,2.5653
A6,E. mordax,96,3.1609
A7,E. mordax,96,2.8222
A8,E. mordax,96,3.0752
A9,E. mordax,96,3.961
A10,E. mordax,96,3.2517
A1,E. mordax,120,2.9164
A2,E. mordax,120,3.0942
A3,E. mordax,120,3.0115
A4,E. mordax,120,3.2022
A5,E. mordax,120,2.5588
A6,E. mordax,120,3.1288
A7,E. mordax,120,2.8078
A8,E. mordax,120,3.0694
A9,E. mordax,120,3.9748
A10,E. mordax,120,3.2437
