SPECIES,ORGANIZATION,HAUL_NO,DATE,LOCATION,LAT,LONG,BOTTOM_DEPTH(m),SAMPLE_NUM,LENGTH(mm),NUM_INDIVIDUALS,WET_WEIGHT(g),DRY_WEIGHT(g),AFDW(g),WATER_CONTENT(%mass),"WATER_CONTENT(%mass,AFDW)",WET:DRY,WET:DRY(AFDW),SUBSAMPLE_WEIGHT(g),GROSS_HEAT(J/Kg),"ENERGY_DENSITY(kJ/g,DRY)","ENERGY_DENSITY(kJ/g,WET)","ENERGY_DENSITY(kJ/g,WET,AFDW)",NOTES
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,1,17.04,19,1.0237,0.182,0.174819626,0.822213539,0.829227678,5.624725275,5.855749868,0.182,19674612.29,19.67461229,4.302384752,4.13264446,AFDW CALCULATION: M2-((AFDW!P2)*M2) - Elaborate
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,2,17.69,17,1.0272,0.1823,0.17510779,0.822527259,0.829529021,5.634668129,5.866101106,0.1823,18792871.65,18.79287165,4.109568373,3.947435191,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,3,18.3,16,1.0406,0.1781,0.171073491,0.828848741,0.835601104,5.842784952,6.082765921,0.1781,18411790.52,18.41179052,4.026234704,3.867389251,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,4,17.07,17,1.0197,0.1922,0.184617209,0.81151319,0.818949486,5.30541103,5.523320416,0.1922,18195163.17,18.19516317,3.978863289,3.821886763,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,5,16.81,46,2.1093,0.5397,0.518407428,0.744133125,0.75422774,3.908282379,4.068807437,0.5397,18269074.57,18.26907457,3.995026011,3.837411823,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,6,17.35,46,2.1261,0.5167,0.496314838,0.756972861,0.766560915,4.114766789,4.28377279,0.5167,18141285.18,18.14128518,3.967081413,3.810569713,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,7,17.42,41,1.9466,0.4935,0.474030139,0.746481044,0.756483027,3.944478217,4.106489948,0.4935,18241298.87,18.24129887,3.988952105,3.831577548,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,8,17.11,44,1.9721,0.4965,0.476911781,0.748237919,0.758170589,3.972004028,4.135146328,0.4965,18444398.23,18.44439823,4.033365259,3.874238488,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,9,16.41,50,2.0174,0.5598,0.537714431,0.722514127,0.733461668,3.603787067,3.751805575,0.5598,18725844.58,18.72584458,4.094911096,3.933356181,
KRILL,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,10,17.05,49,2.1833,0.5778,0.555004284,0.735354738,0.745795684,3.778643129,3.933843508,0.5778,18389590.84,18.38959084,4.021380145,3.862726217,
KRILL,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,1,21.21,15,2.1196,0.4381,0.421396209,0.793310059,0.801190692,4.838164803,5.029945583,0.4381,19923366.64,19.92336664,4.996717332,4.806203472,
KRILL,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,2,19.8,17,2.107,0.448,0.430918744,0.787375415,0.795482324,4.703125,4.889552916,0.448,19341497,19.341497,4.850786267,4.665836438,
KRILL,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,3,19.98,16,2.0563,0.3963,0.381189951,0.807275203,0.814623376,5.1887459,5.394423419,0.3963,18774208.07,18.77420807,4.708511997,4.528986774,
KRILL,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,4,21.25,14,2.1125,0.4831,0.464680458,0.771313609,0.780032919,4.372800662,4.5461348,0.4831,18715194,18.715194,4.693711455,4.514750544,
KRILL,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,5,19.09,21,2.0084,0.5591,0.537782745,0.721619199,0.732233248,3.592201753,3.734593606,0.5591,18417522.82,18.41752282,4.619056465,4.442941985,
KRILL,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,6,19.51,23,2.1262,0.5944,0.571736833,0.720440222,0.731099222,3.57705249,3.718843839,0.5944,18273389.83,18.27338983,4.582908367,4.408172134,
KRILL,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,7,19.39,24,2.0361,0.5798,0.557693499,0.715239919,0.726097196,3.511728182,3.650930131,0.5798,18409269.22,18.40926922,4.616986488,4.440950932,
