SPECIES,ORGANIZATION,HAUL_NO,DATE,LOCATION,LAT,LONG,BOTTOM_DEPTH(m),SAMPLE_NUM,LENGTH(mm),NUM_INDIVIDUALS,WET_WEIGHT(g),DRY_WEIGHT(g),AFDW(g),WATER_CONTENT(%mass),"WATER_CONTENT(%mass,AFDW)",WET:DRY,WET:DRY(AFDW),SUBSAMPLE_WEIGHT(g),GROSS_HEAT(J/Kg),"ENERGY_DENSITY(kJ/g,DRY)","ENERGY_DENSITY(kJ/g,WET)","ENERGY_DENSITY(kJ/g,WET,AFDW)",NOTES
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,1,17.04,19,1.0237,0.182,0.141612367,0.8222135391,0.8616661453,5.624725275,7.228888419,0.182,19674612.29,19.67461229,4.302384752,3.492528588,AFDW CALCULATION: M2-((AFDW!P2)*M2) - Elaborate
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,2,17.69,17,1.0272,0.1823,0.1417742829,0.8225272586,0.8619798648,5.634668129,7.245319666,0.1823,18792871.65,18.79287165,4.109568373,3.336006856,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,3,18.3,16,1.0406,0.1781,0.137045618,0.8288487411,0.8683013473,5.842784952,7.593092106,0.1781,18411790.52,18.41179052,4.026234704,3.268359437,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,4,17.07,17,1.0197,0.1922,0.1519701774,0.8115131902,0.8509657964,5.30541103,6.709869115,0.1922,18195163.17,18.19516317,3.978863289,3.229904945,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,5,16.81,46,2.1093,0.5397,0.4564826177,0.7441331247,0.7835857309,3.908282379,4.620767403,0.5397,18269074.57,18.26907457,3.995026011,3.243025289,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,6,17.35,46,2.1261,0.5167,0.4328198139,0.7569728611,0.7964254673,4.114766789,4.912205799,0.5167,18141285.18,18.14128518,3.967081413,3.220340822,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,7,17.42,41,1.9466,0.4935,0.4167015567,0.7464810439,0.7859336501,3.944478217,4.671448831,0.4935,18241298.87,18.24129887,3.988952105,3.2380947,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,8,17.11,44,1.9721,0.4965,0.4186955153,0.748237919,0.7876905252,3.972004028,4.710105382,0.4965,18444398.23,18.44439823,4.033365259,3.274147778,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,9,16.41,50,2.0174,0.5598,0.4802083122,0.7225141271,0.7619667333,3.603787067,4.20109346,0.5598,18725844.58,18.72584458,4.094911096,3.32410858,
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,39.073668,123.59316,463,10,17.05,49,2.1833,0.5778,0.4916631249,0.7353547382,0.7748073445,3.778643129,4.440642158,0.5778,18389590.84,18.38959084,4.021380145,3.264418672,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,1,21.21,15,2.1196,0.4381,0.3572843063,0.7933100585,0.8314378626,4.838164803,5.932530375,0.4381,19923366.64,19.92336664,4.996717332,4.211081729,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,2,19.8,17,2.107,0.448,0.3676647167,0.7873754153,0.8255032194,4.703125,5.730764755,0.448,19341497,19.341497,4.850786267,4.088095456,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,3,19.98,16,2.0563,0.3963,0.3178977963,0.807275203,0.8454030072,5.1887459,6.468431124,0.3963,18774208.07,18.77420807,4.708511997,3.968191019,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,4,21.25,14,2.1125,0.4831,0.4025550137,0.7713136095,0.8094414136,4.372800662,5.247729945,0.4831,18715194,18.715194,4.693711455,3.955717572,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,5,19.09,21,2.0084,0.5591,0.4825241182,0.7216191994,0.7597470035,3.592201753,4.162278992,0.5591,18417522.82,18.41752282,4.619056465,3.892800611,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,6,19.51,23,2.1262,0.5944,0.5133326628,0.720440222,0.7585680261,3.57705249,4.141953462,0.5944,18273389.83,18.27338983,4.582908367,3.862336092,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,7,19.39,24,2.0361,0.5798,0.502167978,0.7152399195,0.7533677236,3.511728182,4.054619349,0.5798,18409269.22,18.40926922,4.616986488,3.891056098,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,8,20.27,23,2.3575,0.6907,0.6008137017,0.7070201485,0.7451479526,3.413203996,3.923845267,0.6907,18359367.81,18.35936781,4.604471372,3.880508738,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,9,18.92,22,2.0683,0.6123,0.5334402627,0.7039597737,0.7420875779,3.377919321,3.877285133,0.6123,18374178.67,18.37417867,4.608185889,3.88363922,
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,37.416612,122.530817,138,10,20.05,21,2.176,0.6598,0.5768338982,0.6967830882,0.7349108924,3.297969082,3.772316445,0.6598,18169102,18.169102,4.556753309,3.840293402,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,1,16.08,37,2.1204,0.3199,0.2407034594,0.8491322392,0.8864820508,6.62832135,8.809179583,0.3199,17591898.01,17.59189801,3.240343139,2.57695649,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,2,17.05,38,2.0358,0.3556,0.2795632535,0.8253266529,0.8626764646,5.724971879,7.282072929,0.3556,17225664.43,17.22566443,3.172884672,2.523308612,
